order_id,order_value,category,customer_type,customer_order_count,payment_method,delivery_pincode_risk_tier,discount_percent,order_hour,day_of_week,returned_or_disputed
ORD102164,1839,grocery,returning,6,UPI,low,13,6,Thu,0
ORD100586,17910,electronics,new,0,UPI,medium,10,10,Thu,1
ORD102405,1106,apparel,new,0,card,low,3,20,Sat,0
ORD106800,2529,apparel,returning,9,UPI,medium,8,16,Fri,0
ORD103428,808,grocery,new,0,UPI,low,6,14,Fri,0
ORD102609,2593,apparel,returning,8,UPI,high,21,10,Mon,0
ORD103656,28103,electronics,returning,5,COD,low,3,1,Fri,1
ORD103214,23675,electronics,new,0,UPI,low,6,11,Fri,0
ORD103286,6358,home,returning,11,UPI,low,13,3,Sun,0
ORD102080,766,apparel,returning,5,UPI,low,23,9,Sat,0
ORD106955,1279,apparel,returning,8,netbanking,medium,17,7,Wed,0
ORD106487,4756,home,returning,7,card,low,1,7,Tue,0
ORD100222,3550,home,new,0,COD,medium,4,6,Sun,0
ORD106889,4252,home,returning,5,UPI,low,26,2,Sun,0
ORD107678,1278,grocery,returning,5,UPI,high,8,16,Thu,0
ORD100023,251,grocery,new,0,UPI,low,12,3,Mon,0
ORD101905,521,apparel,new,0,COD,low,8,15,Wed,0
ORD104078,17451,electronics,new,0,card,low,64,6,Mon,0
ORD101554,2192,apparel,new,0,COD,low,10,6,Sat,0
ORD105204,12864,electronics,returning,6,netbanking,high,20,7,Mon,0
ORD107700,14591,electronics,returning,8,COD,low,9,6,Thu,0
ORD104945,746,beauty,returning,3,card,medium,3,11,Sun,0
ORD101407,6100,electronics,new,0,wallet,low,9,3,Fri,0
ORD100065,3333,home,returning,5,UPI,low,6,17,Thu,0
ORD106688,2065,home,returning,8,card,medium,13,3,Sun,0
ORD104743,653,apparel,returning,6,card,low,3,18,Sun,0
ORD102031,3099,home,new,0,card,medium,11,21,Mon,0
ORD105824,1315,apparel,new,0,card,medium,1,13,Thu,0
ORD105036,490,grocery,returning,6,UPI,high,4,15,Tue,0
ORD107311,1778,apparel,returning,4,card,low,43,16,Thu,0
ORD104394,834,apparel,new,0,wallet,medium,18,18,Wed,0
ORD101699,1201,beauty,returning,7,wallet,high,14,7,Wed,1
ORD101055,6547,home,returning,7,UPI,medium,2,23,Thu,0
ORD101406,658,grocery,new,0,UPI,low,20,3,Sat,0
ORD103767,1258,apparel,new,0,UPI,high,34,4,Fri,0
ORD101383,1498,grocery,new,0,COD,low,9,0,Fri,0
ORD102118,18091,electronics,returning,6,card,medium,28,12,Sat,0
ORD104319,1185,apparel,new,0,card,medium,36,16,Thu,0
ORD101912,1324,grocery,returning,10,card,low,14,4,Mon,0
ORD103684,13309,electronics,new,0,card,medium,9,1,Sat,0
ORD104813,327,grocery,returning,6,card,low,7,1,Sun,0
ORD101740,549,apparel,returning,7,wallet,medium,13,10,Fri,0
ORD105039,1476,beauty,new,0,UPI,medium,15,18,Fri,0
ORD100927,501,grocery,new,0,UPI,low,11,9,Sat,0
ORD105138,6000,apparel,returning,10,card,high,4,10,Sun,1
ORD103578,2225,beauty,new,0,UPI,high,23,5,Sun,0
ORD104442,475,grocery,returning,6,netbanking,low,5,8,Sat,0
ORD107128,2030,grocery,returning,3,card,medium,0,19,Wed,0
ORD100239,6193,electronics,returning,5,UPI,low,12,17,Thu,0
ORD102966,1053,apparel,new,0,UPI,low,13,5,Fri,0
ORD103542,356,grocery,new,0,COD,medium,10,21,Sat,0
ORD106206,1326,apparel,returning,4,UPI,medium,30,2,Mon,0
ORD103210,1409,apparel,new,0,wallet,low,4,0,Sat,0
ORD100101,967,beauty,new,0,card,low,5,5,Thu,0
ORD100318,2000,apparel,returning,3,card,low,15,15,Thu,0
ORD104581,605,beauty,new,0,COD,low,1,10,Sun,1
ORD103187,817,grocery,new,0,UPI,low,10,8,Fri,0
ORD101244,2216,apparel,new,0,UPI,medium,5,15,Tue,0
ORD101142,1161,beauty,new,0,netbanking,low,13,18,Sat,0
ORD107287,6978,electronics,returning,7,card,low,13,13,Tue,0
ORD106526,2090,apparel,returning,4,UPI,low,7,9,Sat,0
ORD101328,2155,apparel,returning,7,UPI,medium,20,15,Sun,0
ORD107097,802,apparel,new,0,UPI,medium,8,6,Fri,0
ORD106613,9910,electronics,returning,5,COD,low,4,22,Thu,0
ORD101928,14546,electronics,returning,5,UPI,medium,4,22,Fri,0
ORD105004,21554,electronics,new,0,card,low,2,4,Thu,0
ORD100496,1454,apparel,new,0,UPI,low,1,17,Fri,0
ORD107544,1256,home,returning,4,netbanking,high,4,13,Sun,0
ORD102771,1558,beauty,returning,5,netbanking,low,40,13,Thu,0
ORD100472,44690,electronics,returning,8,UPI,high,20,8,Sun,1
ORD105050,3720,apparel,returning,6,wallet,low,4,10,Sun,0
ORD104076,3617,home,new,0,card,low,11,0,Wed,0
ORD100544,22023,electronics,returning,7,COD,medium,19,17,Mon,0
ORD101242,658,apparel,returning,5,UPI,low,2,9,Sun,0
ORD105538,2299,apparel,returning,6,netbanking,low,17,17,Mon,0
ORD107132,38938,electronics,returning,12,card,low,20,9,Tue,0
ORD101315,292,beauty,returning,5,netbanking,medium,20,3,Fri,0
ORD101919,2101,grocery,new,0,wallet,low,9,6,Thu,0
ORD102184,5882,home,new,0,COD,low,14,3,Sun,1
ORD103861,12020,electronics,returning,9,COD,low,12,5,Sun,0
ORD107409,5238,electronics,returning,8,UPI,low,5,3,Wed,0
ORD100132,4090,home,new,0,card,low,8,8,Tue,0
ORD103960,437,apparel,returning,4,card,low,12,7,Sun,0
ORD106351,1249,grocery,returning,4,UPI,low,7,4,Tue,0
ORD102245,15268,electronics,new,0,UPI,low,20,3,Mon,0
ORD100540,1397,grocery,returning,5,card,medium,15,3,Thu,0
ORD106146,2666,beauty,returning,5,UPI,high,47,3,Wed,0
ORD102029,1255,home,new,0,card,low,17,22,Sun,0
ORD100037,3397,apparel,returning,3,UPI,high,0,11,Tue,1
ORD107636,528,apparel,new,0,UPI,medium,3,22,Thu,0
ORD107573,1102,apparel,new,0,netbanking,low,9,17,Sun,0
ORD102018,4313,home,returning,7,card,low,25,13,Wed,0
ORD102111,1712,home,returning,4,card,low,20,6,Thu,0
ORD102402,3138,beauty,new,0,COD,high,6,10,Wed,0
ORD107567,2520,home,new,0,UPI,low,7,17,Fri,1
ORD107512,7279,electronics,returning,9,UPI,medium,12,6,Thu,0
ORD102344,1366,beauty,returning,10,COD,medium,13,0,Sun,0
ORD100095,4459,home,new,0,card,low,8,11,Sat,0
ORD106251,11494,electronics,new,0,UPI,low,21,21,Sat,0
ORD107864,1893,beauty,returning,5,card,medium,8,12,Wed,0
ORD105223,17815,electronics,returning,10,card,medium,13,13,Thu,1
ORD102114,18962,electronics,new,0,COD,medium,26,9,Tue,0
ORD102586,2594,apparel,new,0,COD,low,9,7,Thu,0
ORD105198,350,beauty,new,0,COD,high,2,18,Mon,1
ORD103439,1928,home,returning,8,UPI,low,38,9,Fri,0
ORD100453,5925,electronics,new,0,card,low,9,8,Thu,0
ORD106584,3265,apparel,new,0,netbanking,low,17,12,Tue,0
ORD102836,3410,home,returning,5,UPI,low,3,2,Wed,0
ORD100251,556,grocery,new,0,card,low,4,8,Thu,0
ORD106635,1193,apparel,new,0,COD,medium,6,17,Wed,0
ORD101022,450,grocery,returning,6,wallet,low,31,2,Fri,0
ORD101010,5195,home,new,0,UPI,low,9,21,Sat,0
ORD104649,1394,apparel,returning,10,card,high,1,1,Mon,0
ORD106001,6764,electronics,new,0,UPI,low,12,1,Sun,0
ORD101672,784,beauty,returning,5,UPI,low,11,1,Mon,1
ORD100625,3104,apparel,returning,7,COD,medium,7,7,Sat,0
ORD107793,1549,apparel,returning,5,UPI,low,1,0,Sun,0
ORD102110,2125,home,new,0,UPI,medium,18,0,Mon,0
ORD101465,7102,home,new,0,COD,low,2,5,Wed,0
ORD107529,9650,electronics,returning,12,COD,medium,2,9,Sat,0
ORD104734,527,grocery,returning,4,netbanking,high,13,16,Tue,0
ORD104266,1637,apparel,returning,7,UPI,medium,34,14,Mon,0
ORD103091,775,grocery,new,0,netbanking,medium,19,4,Sun,0
ORD106972,1536,apparel,returning,8,UPI,low,18,15,Mon,0
ORD101888,564,grocery,new,0,COD,low,4,21,Fri,0
ORD101608,2152,apparel,returning,2,card,low,12,20,Sun,0
ORD101744,1061,beauty,new,0,UPI,medium,2,14,Sat,0
ORD100157,1231,home,returning,2,COD,low,80,15,Sun,0
ORD102439,769,beauty,returning,6,netbanking,low,47,21,Sun,0
ORD102199,2851,home,returning,6,COD,medium,1,10,Tue,0
ORD103094,1348,apparel,returning,6,card,low,37,14,Mon,0
ORD106213,1970,home,returning,6,card,low,0,16,Wed,0
ORD100503,2924,home,new,0,card,low,19,13,Sat,0
ORD106186,2739,beauty,returning,8,COD,low,9,3,Sun,0
ORD100315,6000,apparel,new,0,card,low,16,18,Thu,0
ORD100710,837,grocery,returning,9,COD,high,54,11,Fri,0
ORD107082,915,beauty,new,0,card,low,4,4,Tue,0
ORD100856,3803,beauty,new,0,UPI,low,8,12,Fri,0
ORD103322,1682,beauty,returning,6,COD,medium,8,5,Thu,0
ORD102656,1035,apparel,returning,4,UPI,low,10,1,Sun,0
ORD100319,671,grocery,returning,2,UPI,high,18,18,Sat,0
ORD100429,1167,beauty,new,0,card,low,14,4,Tue,0
ORD101018,3311,electronics,returning,6,netbanking,low,12,10,Sat,0
ORD107942,434,beauty,returning,4,UPI,low,17,5,Thu,0
ORD103703,1877,beauty,new,0,card,medium,1,9,Sat,0
ORD106543,3257,home,returning,4,UPI,medium,6,22,Wed,0
ORD102107,1056,grocery,returning,4,UPI,low,6,16,Wed,0
ORD107145,664,beauty,returning,7,UPI,medium,2,0,Tue,0
ORD107530,10280,electronics,new,0,COD,low,1,10,Thu,1
ORD107978,374,grocery,new,0,UPI,low,8,20,Fri,0
ORD101193,626,grocery,returning,8,COD,high,20,18,Sun,0
ORD106357,768,grocery,new,0,wallet,low,22,12,Wed,0
ORD104113,6377,home,new,0,UPI,low,7,9,Wed,0
ORD105740,1664,beauty,new,0,UPI,low,14,9,Sat,0
ORD101840,19719,electronics,returning,2,UPI,low,18,0,Sun,0
ORD102534,881,grocery,new,0,card,low,9,13,Sun,0
ORD101862,450,grocery,returning,9,UPI,low,31,20,Fri,0
ORD105836,469,grocery,returning,9,card,high,17,16,Thu,0
ORD107773,820,grocery,returning,9,UPI,medium,22,1,Sun,1
ORD106699,1886,home,new,0,netbanking,medium,19,12,Mon,0
ORD103045,1128,grocery,returning,4,UPI,medium,7,6,Wed,0
ORD102628,2015,apparel,returning,4,UPI,low,17,1,Thu,0
ORD104228,2531,home,returning,4,COD,medium,20,5,Mon,0
ORD106060,1221,home,new,0,UPI,low,11,5,Fri,0
ORD104229,344,apparel,returning,10,UPI,low,3,12,Fri,0
ORD101281,1426,apparel,returning,4,card,high,3,1,Wed,0
ORD107740,4122,home,new,0,UPI,medium,20,14,Tue,0
ORD107288,10132,home,returning,10,UPI,low,17,17,Thu,0
ORD105502,10658,electronics,returning,9,card,medium,43,16,Wed,0
ORD104220,11836,electronics,returning,3,COD,medium,15,17,Mon,0
ORD104545,513,apparel,new,0,UPI,high,14,19,Fri,0
ORD107698,45000,electronics,returning,9,COD,low,8,13,Sat,0
ORD100743,32324,electronics,returning,9,UPI,low,15,13,Sun,0
ORD105528,628,grocery,new,0,netbanking,medium,5,16,Thu,0
ORD104504,3930,electronics,returning,9,card,medium,69,7,Sun,0
ORD107770,16403,electronics,returning,7,UPI,high,2,21,Sat,0
ORD105277,3359,beauty,returning,8,UPI,medium,1,4,Fri,0
ORD103615,1602,beauty,returning,9,card,low,58,11,Mon,0
ORD104789,1124,beauty,returning,7,UPI,low,33,19,Tue,0
ORD107496,657,apparel,new,0,netbanking,high,34,5,Wed,1
ORD101701,2500,grocery,returning,8,card,low,31,9,Fri,0
ORD100996,5880,home,new,0,UPI,medium,38,17,Thu,0
ORD104038,4629,apparel,returning,11,UPI,high,0,8,Mon,0
ORD107906,2938,home,returning,3,UPI,low,8,8,Sun,0
ORD104717,1198,home,returning,5,UPI,high,0,6,Sun,0
ORD103482,678,beauty,new,0,card,high,53,0,Wed,0
ORD106369,860,beauty,returning,7,card,medium,13,5,Sat,0
ORD105893,1472,beauty,returning,8,COD,low,27,17,Tue,0
ORD105146,984,grocery,returning,7,UPI,high,1,10,Thu,0
ORD101084,864,grocery,returning,8,netbanking,low,2,16,Tue,0
ORD102266,553,beauty,returning,5,wallet,low,7,0,Mon,0
ORD107223,17380,electronics,new,0,wallet,low,12,8,Mon,0
ORD101046,6372,electronics,returning,5,COD,low,9,22,Mon,0
ORD101346,3354,apparel,new,0,card,low,13,11,Wed,0
ORD105922,1423,beauty,returning,4,COD,high,4,21,Sun,0
ORD101176,896,apparel,returning,4,UPI,high,45,14,Sat,1
ORD106282,3016,apparel,returning,2,COD,low,26,5,Sun,1
ORD107036,6427,electronics,returning,7,UPI,medium,6,20,Sun,0
ORD106083,5245,electronics,returning,7,UPI,low,14,17,Mon,0
ORD104838,4865,electronics,new,0,UPI,medium,16,20,Sun,0
ORD101421,1889,apparel,returning,5,card,low,3,23,Fri,0
ORD106075,3210,home,new,0,COD,low,33,16,Wed,0
ORD104149,2735,apparel,returning,5,COD,low,19,6,Thu,0
ORD105775,14536,electronics,new,0,wallet,low,1,21,Fri,0
ORD100908,852,apparel,returning,9,card,low,1,15,Sun,0
ORD106851,4874,apparel,returning,6,UPI,medium,1,21,Fri,0
ORD106527,5847,electronics,returning,5,card,low,27,3,Wed,0
ORD100393,1435,beauty,returning,8,card,high,20,10,Fri,0
ORD100683,1734,apparel,new,0,card,high,8,20,Tue,1
ORD100230,5913,electronics,new,0,card,low,6,7,Tue,0
ORD107947,1327,apparel,returning,8,COD,low,2,11,Fri,0
ORD101430,554,grocery,returning,11,wallet,medium,1,12,Thu,0
ORD100676,1091,grocery,returning,3,card,high,28,7,Wed,0
ORD106463,699,apparel,returning,12,card,medium,33,3,Tue,1
ORD106926,1593,apparel,returning,8,UPI,low,5,8,Mon,0
ORD100033,2516,apparel,new,0,card,high,0,11,Tue,0
ORD102807,970,beauty,returning,7,COD,medium,3,13,Mon,0
ORD100957,3858,home,returning,6,netbanking,medium,2,15,Fri,0
ORD107871,9900,electronics,new,0,UPI,medium,11,14,Wed,1
ORD104262,1645,apparel,returning,3,UPI,low,10,7,Fri,0
ORD102223,5267,electronics,returning,6,card,high,3,20,Sun,0
ORD103378,2922,apparel,new,0,UPI,high,15,19,Wed,0
ORD107159,15111,electronics,returning,9,UPI,medium,30,14,Wed,0
ORD100061,1788,apparel,returning,7,COD,low,3,15,Sat,0
ORD104570,1269,apparel,new,0,UPI,low,0,6,Tue,0
ORD101807,561,apparel,returning,6,COD,low,1,17,Thu,0
ORD101277,21187,electronics,returning,6,card,low,15,4,Mon,0
ORD103515,440,beauty,returning,9,UPI,high,2,16,Fri,0
ORD100332,373,beauty,new,0,UPI,low,0,20,Thu,0
ORD106072,7879,electronics,returning,7,COD,medium,16,10,Thu,0
ORD102375,13600,electronics,returning,10,COD,low,5,3,Mon,0
ORD107171,2146,home,returning,10,UPI,medium,4,11,Wed,0
ORD101261,712,apparel,returning,9,UPI,high,18,1,Thu,0
ORD105627,460,beauty,new,0,wallet,low,33,4,Thu,1
ORD100736,17000,electronics,returning,6,UPI,low,13,4,Thu,0
ORD106415,14844,electronics,returning,6,card,low,5,9,Sun,0
ORD102897,5861,electronics,new,0,wallet,low,20,7,Wed,0
ORD105364,358,grocery,returning,3,UPI,medium,0,18,Sat,0
ORD103288,10594,electronics,returning,7,UPI,high,4,17,Mon,0
ORD106459,1439,beauty,new,0,COD,high,19,15,Mon,0
ORD107284,1378,grocery,returning,6,netbanking,high,11,8,Thu,0
ORD106449,790,beauty,returning,5,card,medium,8,14,Fri,0
ORD103299,8516,electronics,new,0,UPI,medium,8,8,Thu,0
ORD102473,1782,home,returning,6,card,medium,16,1,Thu,0
ORD102306,3097,home,new,0,card,medium,4,4,Tue,0
ORD101374,321,grocery,new,0,UPI,low,6,16,Mon,0
ORD106171,1390,apparel,returning,4,card,high,21,10,Sat,0
ORD107741,1803,apparel,returning,10,card,medium,28,13,Wed,0
ORD107893,25509,electronics,new,0,netbanking,low,22,8,Mon,0
ORD102598,625,grocery,returning,10,UPI,low,17,23,Wed,0
ORD103429,1488,beauty,returning,8,UPI,high,37,15,Sun,0
ORD102603,1138,beauty,new,0,card,high,19,7,Mon,0
ORD103877,2500,grocery,new,0,card,low,4,0,Mon,0
ORD107863,2035,apparel,new,0,card,low,6,7,Thu,0
ORD107117,943,beauty,returning,9,UPI,low,24,19,Fri,0
ORD101078,3861,home,returning,8,netbanking,high,1,19,Sat,0
ORD103520,2841,home,returning,9,card,medium,7,7,Wed,0
ORD101163,4997,electronics,returning,5,COD,low,26,4,Sat,0
ORD103832,4749,apparel,new,0,COD,medium,9,0,Thu,0
ORD105441,713,beauty,returning,4,card,low,5,0,Fri,0
ORD100079,860,beauty,new,0,card,high,53,1,Wed,0
ORD102585,1278,apparel,new,0,netbanking,low,1,11,Sat,0
ORD106816,6685,home,returning,7,card,low,21,19,Sun,0
ORD104509,2328,apparel,returning,6,card,low,15,21,Mon,0
ORD105925,14755,electronics,returning,7,UPI,low,42,0,Fri,0
ORD104595,624,grocery,returning,6,UPI,high,11,5,Sun,0
ORD101790,657,beauty,new,0,COD,low,6,15,Fri,0
ORD101786,1123,apparel,returning,10,UPI,high,0,14,Sat,0
ORD101569,839,apparel,returning,7,UPI,low,15,13,Sun,0
ORD101737,4123,electronics,new,0,card,low,0,10,Wed,0
ORD102251,824,beauty,returning,8,card,low,28,22,Fri,1
ORD104888,1602,apparel,new,0,UPI,low,19,4,Sat,1
ORD101025,1813,apparel,new,0,UPI,low,8,22,Thu,0
ORD101562,1896,grocery,new,0,COD,low,5,20,Thu,0
ORD105777,4093,home,returning,10,card,low,5,18,Wed,0
ORD106289,1087,grocery,new,0,netbanking,low,3,4,Wed,0
ORD107466,3824,electronics,returning,10,card,low,35,21,Sun,0
ORD106762,596,grocery,returning,6,UPI,medium,8,20,Fri,0
ORD107878,444,grocery,returning,6,UPI,low,2,22,Sun,0
ORD102020,2392,home,new,0,card,high,31,21,Wed,1
ORD100149,9995,electronics,returning,5,card,medium,8,5,Fri,0
ORD105327,898,grocery,returning,5,card,low,34,12,Sat,0
ORD105155,9592,electronics,returning,9,UPI,low,31,16,Sun,0
ORD107785,143,grocery,returning,10,netbanking,low,25,9,Mon,0
ORD101732,650,beauty,returning,6,netbanking,low,22,5,Tue,0
ORD100970,1690,apparel,new,0,UPI,low,1,16,Thu,0
ORD102338,2402,home,new,0,card,medium,3,18,Tue,0
ORD101263,471,grocery,returning,6,COD,low,11,4,Mon,0
ORD100169,311,grocery,returning,5,COD,low,8,9,Sat,0
ORD104550,8933,electronics,new,0,COD,medium,1,9,Fri,0
ORD101515,967,apparel,returning,11,UPI,medium,16,5,Mon,0
ORD102859,3456,apparel,returning,9,card,low,6,12,Tue,0
ORD101479,2590,apparel,returning,4,COD,high,28,2,Sun,0
ORD101615,10183,electronics,returning,5,UPI,low,1,15,Sat,0
ORD102574,2394,home,returning,6,UPI,medium,46,19,Mon,0
ORD105802,1210,beauty,returning,3,wallet,low,2,14,Mon,0
ORD104905,8707,home,new,0,netbanking,low,1,22,Sat,0
ORD102579,886,grocery,new,0,UPI,low,1,10,Thu,0
ORD104248,13493,electronics,returning,10,wallet,low,0,18,Fri,0
ORD103438,6984,electronics,returning,6,UPI,low,13,7,Thu,0
ORD100233,10966,home,returning,8,UPI,low,22,2,Wed,0
ORD100353,897,home,new,0,UPI,low,18,1,Mon,0
ORD102229,1771,home,returning,2,COD,low,22,17,Sun,1
ORD104633,1583,apparel,new,0,UPI,high,8,13,Sat,0
ORD104513,4194,electronics,returning,8,UPI,low,9,5,Wed,0
ORD105810,2639,home,returning,6,card,high,3,21,Tue,0
ORD103274,2610,beauty,returning,8,COD,medium,24,21,Fri,0
ORD103826,1597,apparel,new,0,card,low,34,0,Wed,1
